Codice SAP;Fatturati 2020;Backlog Vendite;Clienti direzionali
7703;32.873.351,44 €;nd;nd
700;31.754.910,36 €;nd;nd
7712;30.730.066,40 €;nd;nd
20702;29.571.231,06 €;nd;nd
11509;29.224.931,84 €;nd;nd
7720;28.991.152,37 €;nd;nd
7714;28.121.752,98 €;nd;nd
20801;27.982.628,95 €;nd;nd
7203;27.969.534,04 €;nd;nd
20725;26.038.708,43 €;nd;nd
26507;24.415.838,33 €;nd;nd
7719;23.909.572,88 €;nd;nd
36681;23.441.975,05 €;nd;nd
32536;22.966.473,54 €;nd;nd
7200;22.358.250,25 €;nd;nd
20802;22.335.246,20 €;nd;nd
20701;22.111.088,26 €;nd;nd
20713;21.582.980,40 €;nd;nd
30511;21.527.250,99 €;nd;nd
7718;20.511.604,07 €;nd;nd
27515;20.160.640,36 €;nd;nd
7763;20.156.210,05 €;nd;nd
7201;19.560.526,59 €;nd;nd
20716;19.546.543,48 €;nd;nd
7708;18.668.592,56 €;nd;nd
26515;18.450.689,88 €;nd;nd
7738;17.601.124,62 €;nd;nd
20708;17.390.639,70 €;nd;nd
7745;17.170.276,17 €;nd;nd
7717;16.977.357,66 €;nd;nd
20712;16.969.986,62 €;nd;nd
20743;16.966.021,47 €;nd;nd
7740;16.824.444,37 €;nd;nd
7736;16.731.335,09 €;nd;nd
31501;16.311.515,36 €;nd;nd
500;16.174.631,12 €;nd;nd
7207;15.776.891,92 €;nd;nd
7754;15.764.646,49 €;nd;nd
7711;15.559.329,23 €;nd;nd
7733;15.167.769,71 €;nd;nd
7208;15.109.819,27 €;nd;nd
CON078;15.055.915,42 €;nd;nd
CSE355R2;15.055.915,42 €;nd;nd
7737;14.926.676,70 €;nd;nd
20506;14.808.521,12 €;nd;nd
20737;14.429.306,43 €;nd;nd
7202;14.414.535,40 €;nd;nd
7702;13.593.471,38 €;nd;nd
26505;13.558.144,82 €;nd;nd
715;13.507.028,79 €;nd;nd
7747;13.436.670,24 €;nd;nd
20700;13.420.256,40 €;nd;nd
32557;13.345.534,77 €;nd;nd
30503;13.290.465,78 €;nd;nd
37512;13.253.650,69 €;nd;nd
20504;13.175.098,23 €;nd;nd
7726;12.980.582,40 €;nd;nd
20714;12.972.592,74 €;nd;nd
20827;12.970.059,51 €;nd;nd
CON079;12.960.617,09 €;nd;nd
7715;12.788.989,67 €;nd;nd
26511;12.691.643,37 €;nd;nd
7723;12.604.887,78 €;nd;nd
RS0067;12.342.915,58 €;nd;nd
31513;12.242.146,93 €;nd;nd
36698;11.771.293,70 €;nd;nd
7783;11.574.178,93 €;nd;nd
20748;11.548.648,40 €;nd;nd
709;11.533.771,09 €;nd;nd
26529;11.271.123,80 €;nd;nd
7756;11.208.596,13 €;nd;nd
7706;11.194.318,94 €;nd;nd
30502;10.763.471,71 €;nd;nd
7722;10.708.526,24 €;nd;nd
20711;10.685.711,52 €;nd;nd
