LedgerID;LedgerName;VendorID;DUNS;LocalBusinessNumber;VATNumber;CompanyName;Address1;Address2;Town;County/State/Province;PostCode;Telephone;Fax;Country;LegalCode;LegalFormPM;OutOfBusinessIndicator;StartYear;PrimarySICCode;HeadQuarterDuns;DomesticUltimateDuns;DomesticUltimateCountry;DomesticUltimateCompanyName;GlobalUltimateDuns;GlobalUltimateCountry;GlobalUltimateCompanyName;CompanyEmployees;NetSales;NetWorth;TotalAssets;CurrentAssets;CurrentLiabilities;FinancialStrength;RiskRating;PMFailureAssignedScore;DBFailureScoreCurrent;DBFailureScore3Month;DBFailureScore6Month;DBFailureScore9Month;DBFailureScore12Month;CReditLimit;OriginalOverrideCode;DBDelinquencyScore;PaymentScore;DBCurrency
116560;CL;1005246;436207026;BS393240;1868030980;DIGIT CLASS SAS DI SALVETTI GIANLUIGI;VIA UMBERTO I 15;;NIARDO;BRESCIA;25050;364339037;364339037;IT;1869;Partnership;;1997;2796;436207026;;;;;;;4;;;;;;C  ;2;78;78;78;80;80;80;45000.00;;84;77;EUR
116560;CL;1008146;435492271;BG429542;4031800164;ELECTRIC CABLE SRL;VIA GIOACCHINO ROSSINI 18;;CREDARO;BERGAMO;24060;35927221;;IT;1867;Private Limited Company;;2014;3699;435492271;;;;;;;22;1256221.00;142699.00;1332491.00;779784.00;758723.00;D  ;3;14;14;14;5;5;5;9900.00;;62;70;EUR
116560;CL;1010247;437778202;BG238524;1805190160;EUTRON SPA;VIA CRESPI 29/31;;PRADALUNGA;BERGAMO;24020;035 757311;35697090;IT;1868;Public Company;;1987;3699;437778202;430142361;IT;SAVIO MACCHINE TESSILI SPA;371102996;LU;TOP ITACA FINANCE S.à r.l.;160;37007669.00;22614323.00;32873718.00;24723992.00;8256121.00;3A ;1;98;98;98;98;86;86;4200000.00;;91;75;EUR
116560;CL;1008858;432523637;VA132856;1188310120;MEBA SRL;VIALE DELLO SPORT 14;;GAVIRATE;VARESE;21026;332668011;332666138;IT;1867;Private Limited Company;;1974;3699;432523637;;;;;;;49;5103838.00;2174055.00;6628203.00;3704712.00;2322025.00;2A ;1;97;97;97;99;99;99;270000.00;;100;80;EUR
116560;CL;1008487;435431006;VA351774;3440940124;MEGATRONIC SRL;VIA ALESSANDRO VOLTA 26;;LOZZA;VARESE;21040;332491101;332491093;IT;1867;Private Limited Company;;2014;3699;435431006;;;;;;;45;2065638.00;-322006.00;3452376.00;1342354.00;2476414.00;N  ;4;5;5;5;9;9;9;;;75;79;EUR
116560;CL;1000722;441482739;MI1645118;3129250969;MICROMECCANICA SNC DI CILETTI DONATO & C.;VIA GIACOMO PUCCINI 12;;COLOGNO MONZESE;MILANO;20093;225490707;225490707;IT;47;Partnership;;2001;3499;441482739;;;;;;;7;;;;;;C  ;1;95;95;95;95;95;95;110000.00;;88;80;EUR
116560;CL;115100;432057777;BS404285;2015710987;PASQUALE SILVIA LINA;VIA MOLINI 2;;NIARDO;BRESCIA;25050;;;IT;6150;Proprietorship;;1998;3699;432057777;;;;;;;4;;;;;;C  ;3;43;43;43;43;43;43;42000.00;;40;;EUR
116560;CL;1004394;432365856;BO263734;595781204;POGGIPOLINI SPA;VIA EMILIA 262;;SAN LAZZARO DI SAVENA;BOLOGNA;40068;516256090;516257084;IT;1868;Public Company;;1981;3499;432365856;440370477;IT;EMILIA HOLDING SRL;440370477;IT;EMILIA HOLDING SRL;82;15975378.00;10704749.00;31286827.00;16700713.00;6814708.00;3A ;2;65;65;65;65;24;24;260000.00;;68;54;EUR
116560;CL;6042;438228319;BS242378;1541400170;PROEL DI FERRARI ORSOLINA;VIA EDISON 17/3;;PROVAGLIO D'ISEO;BRESCIA;25050;309882224;309882224;IT;6150;Proprietorship;;1980;3577;438228319;;;;;;;4;;;;;;C  ;2;47;47;47;47;47;47;35000.00;;40;;EUR
116560;CL;1007526;338561006;BS499243;3031260981;TECHNE SRL;VIA DELLA MUSIA 97;;BRESCIA;BRESCIA;25135;302186278;;IT;1867;Private Limited Company;;2008;8734;338561006;439055234;IT;TECHNE HOLDING SRL;439055234;IT;TECHNE HOLDING SRL;12;3845422.00;800409.00;3355501.00;1720570.00;2199572.00;A  ;2;69;69;69;69;88;65;220000.00;;49;65;EUR
116561;CS;1006485;482227402;CH40030080004;;Printcolor AG;Welschloh 299;;Berikon;AG;8965;056 648 85 85;056 648 85 00;CH;LSC/3   ;Private Limited Company;;1932;2865;482227402;481821358;CH;MFB HOLDING AG;481821358;CH;MFB HOLDING AG;80;;;;;;EE ;2;86;86;86;86;86;87;100000.00;;;80;CHF
