;;BOM Export Data;;;;;;;
;;User Name : Daniele Mazzotti;Date : June 14, 2022;;;;;;
;;Project name : Niuma;BOM name : Niuma Giugno 2022;;;;;;
;;;;;;;;;
Row #;SiliconExpert Part;SiliconExpert Manufacturer;Match Type;SiliconExpert Description;Lifecycle;Crosses;Estimated Years to EOL;Predicted Obsolescence Year;Country of Origin
2;CFR-25JT-52-47R;Yageo;Exact;Res Carbon Film 47 Ohm 5% 0.25W(1/4W) -350ppm/°C to 500ppm/°C Conformal Coated AXL Tape and Box;Active;97;7.3;2029;China | Taiwan
5;CFR0W4J0101A20;Royal Electronic Factory Co.,Ltd;Exact;CARBON FILM FIXED RESISTOR;Active;0;8.5;2031;Thailand
17;CFR-25JT-52-560R;Yageo;Exact;Res Carbon Film 560 Ohm 5% 0.25W(1/4W) -350ppm/°C to 500ppm/°C Conformal Coated AXL Tape and Box;Active;69;7.3;2029;China | Taiwan
22;CFR0W4J0472A20;Royal Electronic Factory Co.,Ltd;Exact;Res Carbon Film 4.7K Ohm 5% 0.25W(1/4W) -450ppm/°C to 0ppm/°C AXL;Active;1;8.5;2031;Thailand
26;CFR0W4J0103A50;Royal Electronic Factory Co.,Ltd;Exact;Res Carbon Film 10K Ohm 5% 0.25W(1/4W) -450ppm/°C to 0ppm/°C Conformal Coated AXL Tape and Box;Active;46;8.5;2031;Thailand
32;CFR-25JT-52-150K;Yageo;Exact;Res Carbon Film 150K Ohm 5% 0.25W(1/4W) -700ppm/°C to 0ppm/°C Conformal Coated AXL Tape and Box;Active;86;7.3;2029;China | Taiwan
42;1206S4J0000T5E;Royal Electronic Factory Co.,Ltd;Exact;Res 1206 0 Ohm Pad SMD T/R;Unconfirmed;299;Unknown;;Thailand
43;RC1206JR-070RL;Yageo;Exact;Res Thick Film 1206 0 Ohm Pad SMD T/R;Active;290;7.3;2029;China | Taiwan
46;1206S4J0272T5E;Royal Electronic Factory Co.,Ltd;Exact;Thick Film Chip Resistor SMD;Active;0;7.3;2029;Thailand
48;RC1206JR-072K7L;Yageo;Exact;Res Thick Film 1206 2.7K Ohm 5% 0.25W(1/4W) ±100ppm/°C Pad SMD T/R;Active;288;7.3;2029;China | Taiwan
50;1206S4J0100T5E;Royal Electronic Factory Co.,Ltd;Exact;Res Thick Film 1206 10 Ohm 5% 0.25W(1/4W) ±400ppm/°C Pad SMD T/R;Unconfirmed;348;Unknown;;Thailand
51;RC1206JR-0710RL;Yageo;Exact;Res Thick Film 1206 10 Ohm 5% 0.25W(1/4W) ±200ppm/°C Pad SMD T/R;Active;343;7.3;2029;China | Taiwan
52;RMC 1206 10 5%;TY-OHM ELECTRONIC WORKS;Automatic;Thick Film Surface Mount Chip Resistor;Unconfirmed;0;Unknown;;
54;1206S4J0472T5E;Royal Electronic Factory Co.,Ltd;Exact;Res Thick Film 1206 4.7K Ohm 5% 0.25W(1/4W) ±100ppm/°C Pad SMD T/R;Unconfirmed;362;Unknown;;Thailand
55;RC1206JR-074K7L;Yageo;Exact;Res Thick Film 1206 4.7K Ohm 5% 0.25W(1/4W) ±100ppm/°C Pad SMD T/R;Active;361;7.3;2029;China | Taiwan
56;RMC12064.7K5%;TY-OHM ELECTRONIC WORKS;Automatic;Thick Film Chip Resistor;Unconfirmed;0;Unknown;;
58;1206S4J015JT5E;Royal Electronic Factory Co.,Ltd;Exact;Res Thick Film 1206 1.5 Ohm 5% 0.25W(1/4W) ±400ppm/°C Molded Pad SMD T/R;Unconfirmed;169;Unknown;;Thailand
60;RC1206JR-071R5L;Yageo;Exact;Res Thick Film 1206 1.5 Ohm 5% 0.25W(1/4W) ±200ppm/°C Pad SMD T/R;Active;169;7.3;2029;China | Taiwan
62;1206S4J0331T5E;Royal Electronic Factory Co.,Ltd;Exact;Res Thick Film 1206 330 Ohm 5% 0.25W(1/4W) ±100ppm/°C Pad SMD T/R;Unconfirmed;339;Unknown;;Thailand
64;RC1206JR-07330RL;Yageo;Exact;Res Thick Film 1206 330 Ohm 5% 0.25W(1/4W) ±100ppm/°C Pad SMD T/R;Active;340;7.3;2029;China | Taiwan
